Arabize,Arabic
ma7ket,ماحكيت
e7ku,احكوا
ahlin,اهلين
adi,عادي
ywf2na,يوفئنا
tjible,تجيبلي
sheklo,شكله
el9ena3eh,الصناعيه
haljana,هالجنه
tt9awar,تتصور
ba5dk,باخذك
aswelk,اسويلك
ba8dar,بقدر
b7awlsh,بحولش
bb3tlk,ببعتلك
ehtrami,احترامي
andawm,انداوم
al9ra5,الصراخ
8alat,قالت
sea8,سياق
2somha,اسمها
lekon,ليكون
es2leny,اساليني
azna5,ازنخ
athbt,اثبت
almomani,المومني
fad7tena,فضحتينا
btrod,بترد
msa7h,مساحه
sebek,سيبك
eno0,انه
2rd7,اردح
deatk,دياتك
bbttl,ببطل
btee5,بطيخ
y$tarehn,يشتريهن
btfhminy,بتفهميني
7reshk,حريشك
mu5drat,مخدرات
tnzl,تنزل
2lshe5,الشيخ
l5zana,الخزانه
dashr,داشر
fkrtha,فكرتها
rayek,رايك
btothe8e,بتوثقي
yfkr,يفكر
a7jez,احجز
frez,فريز
3bayeh,عبايه
tdalek,تضلك
jom3a,جمعه
s2lt,سئلت
fdaye7,فضايح
elmjani,المجاني
ajeblo,اجيبلو
bshrafk,بشرفك
ejek,أجيك
ytmmmlk,يتمملك
ordoneih,اردنيه
na89na,ناقصنا
ray7i,ريحي
bna8e6,بنقط
m9adeg,مصدق
tl3be,تلعبي
t3sbnish,تعصبنيش
elmn7ref,المنحرف
lo3bet,لعبة
5obz,خبز
eldenya,الدنيا
5alte,خالتي
8sha6ah,قشاطه
leltak,ليلتك
tz3lsh,تزعلش
5amert,خميرة
z7alee8,زحاليق
asrar,اسرار
fini,فيني
brab,برب
l3'alle,الغالي
btrwe7ah,بترويحه
nhayat,نهايات
ethno,اذنه
sa7er,ساحر
yomeen,يومين
ywafgak,يوفقك
sawe,سوي
2eargel,ارجيل
yojd,يوجد
bt8sr,بتقصر
bslmo,بسلمه
ba3den,بعدين
9aereh,صايره
a3'la,اغلى
en8a3i,انقعي
btmsi,بتمسي
l3'6,لغط
ya7fdhou,يحفضه
a7otelak,احطلك
b$are3,بشارع
$ofeli,شوفيلي
badek,بدك
dobh,دبه
ynfjer,ينفجر
tro7i,تروحي
negdar,نقدر
moto,موتوا
2smi,اسمي
bt9'ay8,بتضايق
7aded,حديد
3'ier,غير
t7awel,تحاول
na8stk,ناقصتك
7jtk,حجتك
wladi,ولادي
3ayshe,عايشه
m6wle,مطولي
2l2s2leh,الأسئله
kondrtk,كندرتك
sa3dny,ساعدني
t5alenesh,تخلينيش
m3goud,معقود
tete,تيتي
byuzbut,بيزبط
2lwalden,الوالدين
mo6lh,مطله
belbet,بالبيت
llesh,لليش
mfjou3,مفجوع
ranim,رنيم
bt3'la6i,بتغلطي
ydawem,يداوم
3arasak,عراسك
mt5rj,متخرج
hek,هيك
3amti,عمتي
e8brhom,يقبرهم
tkrahy,تكرهي
3'sbn,غصبن
2shrbo,اشربو
kasar,كسر
heba,هبه
bdaom,بداوم
a3'lab,اغلب
fahmaneen,فهمانين
3roa8,عرواق
zahganeh,زهقانه
ymken,يمكن
bt$ahi,بتشهي
asa7se7,اصحصح
7a8erah,حقيره
7sbellah,حسبيالله
baji,باجي
ynasbek,يناسبك
ba9atnh,باصتنا
$e5ah,شيخه
shfytli,شفيتلي
shrat,سهرات
aweli,اويلي
esh,ايش
eza,ازا
zhegtak,زهقتك
al86k,القطك
btshbhiny,بتشبهيني
elnarjes,النرجس
asm3,اسمع
btname,بتنامي
nkhsar,نخسر
7ewanat,حيوانات
79an,حصان
bndorah,بندوره
yl3'e,يلغي
adk,ئدك
strk,سترك
m3mol,معمول
sar5,صرخ
b3dhn,بعدهن
raghod,رغود
btjra7ehm,بتجرحيهم
m3ah,معاه
bttswa,بتتسوى
5lih,خليه
3'lt,غلطت
m3slak,معسلك
se8arah,سيقاره
wykather,ويكثر
3'rbh,غربه
aked,اكيد
nak$,نكش
llhbl,للهبل
7ktlk,حكتلك
elsolafeh,السولافه
bt3jbeni,بتعجبيني
bl7e6an,بالحيطان
t78e8,تحقيق
hilw,حلو
walad,ولد
tre2t,طريئة
mohebt,محبة
mkhfe,مخفي
emad,عماد
moraqabeh,مراقبه
5orafyeh,خرافيه
3o8d,عقد
7atm,حاتم
bdhn,بدهن
mratb,مرتب
thamen,ثمين
bedayet,بداية
2le,الي
bdbr,بدبر
a5bari,اخباري
elsob7,الصبح
lelt,ليلة
bezabt,بزبط
ltfkr,لتفكر
mtansho,مطنشه
net3araf,نتعرف
btstana,بتستنى
2etma,ايمتى
yjeb,يجيب
alhoson,الحصن
b7u6,بحط
$7bar,شحبار
ajrhm,اجرهم
bamza7,بمزح
efr7ne,يفرحني
2trai7,اتريح
abkar,ابكر
hayne,هيني
ya7miha,يحميها
b3jbnesh,بعجبنيش
bt3rfnesh,بتعرفنيش
bt7bhm,بتحمم
bt3amal,بتعامل
elraf9'en,الرافضين
elwa9'e3,الوضع
b8olo,بقوله
$u,شو
7amze,حمزه
kan,كان
ja2zeh,جائزه
7abeh,حابه
wzena,وزينا
eltamr,التمر
trodi,تردي
ydiro,يديرو
6franeh,طفرانه
mase2o,مساؤ
mostfz,مستفز
kam$eh,كمشه
akhaliha,اخليها
6awela,طويله
bleid,بليد
ga63te,قطعتي
bejnin,بيجنن
2tneen,اتنين
3ndko,عندكوا
btdbk,بتدبك
yg63o,يقطعو
2jtni,اجتني
n8a6,نقاط
bshbh,بشبه
smallah,سمالله
m3nato,معناته
bmwdoo3,بموضوع
mnkmel,منكمل
btnsrfe,بتنصرفي
ha9'ol,هضول
ya3rafni,يعرفني
wn7efh,ونحيفه
mjhol,مجهول
l5eer,الخير
soda,سودا
sy2ah,سيئه
ajoz,اجوز
benadoni,بينادوني
meladha,ميلادها
3alai,علي
rman,رمان
sh5setak,شخصيتك
el6abe5,الطبيخ
eldraseh,الدراسه
yadnya,يادنيا
wala3,ولع
2golk,اقلك
ast3'l,استغل
lljm3a,للجمعه
yd3amoni,يدعموني
ys7o,يحسو
oday,عدي
rbna,ربنا
ala9l,الاصل
t3aseb,تعصب
alrya9'yeh,الرياضيه
b$elha,بشيلها
hdol,هدول
wa6i,واطي
bnsa,بنسى
elfsl,الفصل
laesob3,الاسبوع
at5rj,اتخرج
jnbha,جنبها
3o8baal,عقبال
bestafezak,بستفزك
7marah,حماره
eljoz,الجوز
kmad,كماد
nehna,نحنا
wrg,ورق
wbt3ud,وبتعود
b5rb$,بخربش
gma3ah,جماعه
elnkd,النكد
l3bet,لعبة
lbst,لبست
ahlam,احلام
9a7btna,صاحبتنا
2ljm3a,الجمعه
y5lek,يخليك
bnj7ona,بنجحونا
talab,طلب
zbal,زبال
asdk,ئصدك
79'rt,حضرة
2nkhmd,انخمد
elajwa,الأجواء
wlhm,ولهم
mshtag,مشتاق
amjad,امجد
amsa7,امسح
m3la8ah,معلقه
$ayef,شايف
sh3'lat,شغلات
jded,جديد
m3l$,معلش
btrodesh,بترديش
el3res,العريس
alh,الله
fish,فيش
bjwabak,بجوابك
2jaj,الجاج
y3rfik,يعرفك
bnst3'ne$,بنستغنيش
yekon,يكون
kaynin,كاينين
2lrmtha,الرمثا
7aref,حرف
n3meh,نعمه
ltshofi,لتشوفي
5reb,خرب
mo7e6,محيط
ya$ena,ياشينه
jay,جاي
$3r,شعر
3rdo,عرضو
nomtek,نومتك
yhfdeek,يحفضك
mat2kda,متاكده
sakouna,ساكونه
mangol,منقول
bll,بل
mi$taglk,مشتاقلك
gr6a,قرطه
bkrahne,بكرهني
db3tlk,دبعتلك
el2boab,الابواب
yf6'i,يفظي
jawbe,جاوبي
entbho,انتبهو
te97a,تصحى
atyab,اطيب
el7a8e8eh,الحقيقيه
2dawim,اداوم
gblha,قبلها
3jbtha,عجبتها
3l7yeh,عالحيه
9obah,صوبه
swrle,صورلي
7lmte,حلمتي
tsa3dehom,تساعديهم
asht3'l,اشتغل
gltle,قلتلي
dnia,دنيا
raja2,رجاء
23zmk,اعزمك
nhdr,نحضر
9'arori,ضروري
bntsla,بنتسلى
snh,سنه
mrayh,مرايه
6wena,طوينا
bardu,برضو
jameel,جميل
bfre8na,بفرقنا
s3'er,صغير
ola,اولى
alwusta,الواسطه
b2rglo,بأرقلو
wmsaki,ومساكي
bik,بك
ew3k,اوعك
wa7de,وحده
el6al3a,الطلعه
tla8ena,تلاقينا
wa3ed,واعيد
$a6reh,شاطره
shi,شي
$a$brak,ششبرك
derli,ديرلي
7af6'etkom,حافظيتكم
tamara,تماره
2rbna,أربنا
bjam3a,بجامعه
aghbar,اغبر
2asawi,اسوي
ysaberhoum,يصبرهم
deer,دير
en3n,ينعن
n5tar,نختار
$kalek,شكالك
tafeha,تفاها
ya5dk,ياخدك
sawytha,سويتها
b7alha,بحالها
nderbo,ندربه
muslyh,مسليه
btjebo,بتجيبو
y3afey,يعافي
asa3do,اساعده
z3lan,زعلان
e$taretoha,اشتريتوها
bsa3do,بساعدو
abadlek,ابادلك
yhf6'hom,يحفظهم
3zmt,عزمت
hbebte,حبيبتي
al3'lbha,الغلبه
btt4kri,بتتذكري
bhst,بحصة
as2lti,اسئلتي
bn7b,بنحب
tesrle,تيسرلي
bst3mela,بستعملها
yasar,يسار
2ljam3a,الجامعه
es2li,اسألي
bas,بس
a7ke,احكي
zayhom,زيهم
bdrs,بدرس
m6'tha,مظتها
abradli,ابردلي
3eouni,عيوني
8ltlk,قلتلك
katblh,كتبلها
dfa,دفا
btbensh,بتبينش
tlbsi,تلبسي
wabsar,وابصر
2akhe,اخي
3$ra,عشره
el9'o7ok,الضحك
$o8tene,شوقتيني
el3zaym,العزايم
th8l,ثقل
bhem,بهيم
sahbati,صاحباتي
tshrdg,تشردق
ywf2ek,يوفئك
ysm7le,يسمحلي
nfs,نفس
tl3et,طلعت
thdedatk,تهديداتك
ymama,ياماما
tsad2esh,تصدئيش
63am,طعام
imbar7,امبارح
m7snk,محسنك
nora,نوره
6ab5en,طابخين
fstg,فستق
ydom,يدوم
so3adaa2,سعداء
b7yato,بحايته
hdfhom,هدفهم
t8tin3o,تقتنعو
elma7rosa,المحروسه
trthe,ترتاحي
tawjehe,توجيهي
aymta,ايمتى
feny,فيني
shwya,شويه
tza3bere,تزعبري
e3trft,اعترفت
at3wd,اتعود
b2olk,بألك
darbk,دربك
btjanen,بتجنن
9'lo,ضلو
msalk,مسالك
jbeno,جبينو
5zgti,خزقتي
ro7ele,روحيلي
thlajeh,ثلاجه
tes7a,تصحا
mbrg3,مبرقع
w2ef,وائف
msaker,مسكر
3arabi,عربي
bsnani,بسناني
ttda5al,تتدخل
ensa7ab,انسحب
tjik,تجيك
ykpper,يكبير
btsolf,بتسولف
9oti,صوتي
sana,سنه
maygdar,مايقدر
ed3i,ادعي
chlonk,شلونك
e3rfte,اعرفتي
2f6rt,افطرت
wray,وراي
shtawe,شتوي
$ale7,شالح
jebne,جيبني
ehtami,اهتمي
sanad,سند
min,مين
tfshlony,تفشلوني
3'9bn,غصبا
wklum,وكلم
bt6la3,بتطلع
nsrf,نصرف
ra2eko,رأيكوا
elzbali,الزباله
jma3i,جماعي
wnfesh,ونفش
jum3tk,جمعتك
sahye,صاحيه
m9'6rah,مضطره
blkalemat,بالكلمات
myztk,ميزتك
wdosytha,ودوسيتها
bblsh,ببلش
2dktoor,الدكتور
bdono,بدونه
tslam,تسلم
m7trma,محترمه
7alha,حالها
d2e2a,دئيئه
wywf8k,ويوفقك
l3bini,لاعبيني
2noor,أنور
beji,بيجي
3yoob,عيوب
5atem,خاتم
arqamko,ارقامكوا
n9'eef,نظيف
wslnesh,وصلنيش
mlo5eya,ملوخيه
b3ber,بعبر
tn7a,تنحا
7l,حل
btarekh,بتاريخ
rabe6,رابط
ekhrasi,اخرسي
mkfe,مكفي
astana,استنى
za3tr,زعتر
balk,بالك
59o9e,خصوصي
a5barek,اخبارك
mohm,مهم
seere,سيري
mt2sef,متأسف
yam6g3lna,يامطقعلنا
6areget,طريقة
glboshe,قلبوشي
a$8ar,اشقر
jeboli,جيبولي
sada,ساده
bejouz,بيجوز
2l$emaleh,الشماليه
rah,راح
an8l3,انقلع
elbso,البسو
f3lteh,فعلتيه
sumaya,سميه
etfa97an,اتفصحن
ygreb,يقرب
elmlyon,المليون
b2hlo,باهلو
badna,بدنا
ebnk,ابنك
mshateb,مشاتييب
solfo,سولفو
elnamleh,النمله
2$wtk,اشوتك
bt3atbne,بتعاتبني
elwa7sh,الوحش
el7ameh,الحمه
moasalat,مواصلات
5a9a,خاصه
tt2sfi,تتأسفي
9aym,صايم
alywm,اليوم
sodah,سوده
btmshy,بتمشي
sha9yat,شصيات
shahadt,شهادة
hati,هاتي
e5rasi,اخرسي
heza3eh,هيزعيه
t5arj,تخرج
2n93a8t,انصعقت
tjaweb,تجاوب
ahjez,احجز
nutla3,نطلع
mhetha,محيتها
elma6'eh,الماضيه
boklsh,بوكلش
e5t9ri,اختصري
y7rmk,يحرمك
rj3t,رجعت
betsefri,بيتسافري
biheno,بهينه
eljma3ah,الجماعه
majalo,مجالو
mtl,متل
ela5er,الاخير
shofe,شوفي
a5i,اخي
zaka,زكا
romncyah,رومانسيه
battal,بطل
7alkom,حالكم
8ole,قولي
amoureen,امورين
yazalmeh,يازلمه
t9b7o,تصبحو
shakoush,شاكوش
kaser,كاسر
5rabt,خرابة
tjari,تجاري
tnaner,تنانير
8ahoa,قهوه
fyd,فيد
tskar,تسكر
tsa3di,تسعدي
sa3teen,ساعتين
mo3ean,معين
$3'lat,شغلات
l6y6h,لطيطه
m7akma,محاكمه
3l,عل
haboubti,حبوبتي
anktlkm,انكتلكم
ma3,مع
ybarek,يبارك
elt5reb,التخريب
btshufi,بتشوفي
aqta3,اقطع
2nam,انام
r5a9,رخاص
for9ah,فرصه
mt2sfeh,متأسفه
bnadoha,بنادوها
daybe,ذايبه
ygoulouli,يقولولي
masabat,مسبات
bsma3en,بسمعن
naymeh,نايمه
mnjraab,منجرب
y2awekee,يأويكي
jnb,جنب
btts7r,بتتسحر
rsmeh,رسميه
makel,ماكل
bnhb,بنهب
3omry,عمري
$or6t,شرطة
dorek,دورك
fala96en,فلسطين
dawmt,داومت
bt7ss,بتحسس
7a8i8i,حقيقي
3arfik,عارفك
8rfna,قرفنا
sb3,سبع
mna,منا
mzn5km,مزنخكم
lt9a79e7o,لتصحصحو
eltani,التاني
2stefsar,استفسار
zeb6at,زبطت
mordena,موردنه
ashtreh,اشتريه
btwa8fi,بتوقفي
sa7batha,صاحبتها
eji,اجي
skrth,سكرتها
mejnouna,مجنونه
2emta,ايمتى
ruba,ربى
3alam,عالم
a5dar,اخضر
ttl3,تطلع
y6sk,يطسك
elsejadeh,السجاده
bzar,بزر
mas7tene,مسحتيني
tshfay,تشفي
tdrbt,تدربت
n5mes,نخمس
mu'ta,مؤته
mazbo6,مزبوط
azwa2,ازوء
m39bh,معصبه
e6fe,اطفي
al9'3'6,الضغط
jam3tna,جامعتنا
llyoum,لليوم
e7mina,يحمينا
jami3tak,جامعتك
sn7ko,سنحكو
bshokh,بشوكه
eltawjehe,التوجيهي
rw7te,روحتي
8sdk,قصدك
argslk,ارقصلك
sag6,ساقط
elwa6'ee3,الوضع
2wleto,اوليته
a3'eb,اغيب
el$ebak,الشباك
elmoslem,المسلم
3edak,عيدك
yalh,يا الله
tsewele,تسويلي
ba3ezak,بيعزك
maskah,ماسكه
yjini,يجيني
ye7remkom,يحرمكم
2e5te,اختي
3o6'ni,عوضني
elsa3edeh,السعيده
l7gti,لحقتي
elsaneh,السنه
e7zaro,احزروا
9'erofo,ضروفو
tra,ترا
saknen,ساكنين
elna9,النص
m2thr,مأثر
jma3et,جماعة
3dss,عدس
tkone,تكوني
dhan,دهان
yejy,يجي
skrnah,سكرناه
y7fa6'h,يحفظه
3rftehm,عرفتيهم
m5ali,مخلي
e9abat,اصابات
arawe7,اروح
ali,علي
ma7lak,محلاك
mfhmt$,مفهمتش
mo3agd,معقد
eljam3a,الجامعه
we7yat,وحياة
aljeran,الجيران
7amdellah,حمدلله
jd,جد
naym,نايم
5leni,خليني
hadek,هديك
tez3ale,تزعلي
mwaser,مواسير
btjebi,بتجيبي
3o8bal,عقبال
sanfora,سنفوره
mtzkretha,متزكريتها
momtaz,ممتاز
tn5tbe,تنخطبي
2sm3o,اسمعو
kahraba,كهربا
lb3a9',البعض
9awarto,صورتو
esmo,اسمه
btrko,بتركه
2jeb,اجيب
er7am,ارحم
3'reeb,غريب
d7katak,ضحكاتك
ethnain,اثنين
fo8na,فوقنا
blzb6,بالزبط
bnjlt,بنجلط
23teni,اعطيني
btzhg,بتزهق
rjleha,رجليها
bedde,بدي
a3beke,اعبيكي
jawbtak,جاوبتك
ya5fa,يخفى
6weel,طويل
2n6rdna,انطردنا
m3alim,معلم
yhemak,يهمك
nmt,نمت
bedah,بيضه
meen,مين
bi6i8ni,بطيقني
t7sdne,تحسدني
8lbi,قلبي
t36eny,تعطيني
anj7,انجح
6'roryeh,ظروريه
b36esh,بعطيش
el3alm,العالم
tswer,تصوير
almojamla,المجامله
el5a6,الخط
b9rmaea,بصرمايه
3elme,علمي
ensrag,انسرق
tedkhloush,تدخلوش
b9d8,بصدق
m3brfoush,مابعرفوش
6nshe,طنشي
enset,انسيت
3'$a$,غشاش
a5leki,اخليكي
a3gal,اعقل
6fa,طفى
yt7ammal,يتحمل
bt3al8i,بتعلقي
2nsa,انسى
3shirti,عشرتي
2shta8,اشتاق
m9frna,مصرفنا
balek,بالك
hm,هم
bt9'l,بتضل
l5ema,لخيمه
tafyh,طافيه
bjanen,بجنن
b2man,بأمان
atw83t,اتوقعت
maznakh,مزنخ
mbar7,مبارح
w2ntu,وانتو
bzwr,بزور
ajbd,اجبد
3lamet,علامة
b5yr,بخير
bto5e4,بتوخذ
rasek,راسك
yaryt,ياريت
m9d8at,مصدقات
al3bkom,الاعبكم
blallah,بالله
mgdous,مقدوس
b2rah,بئره
footi,فوتي
e3'9bha,اغصبها
ysleke,يسليكي
ba9al,بصل
blshan,بلشان
lbanda,الباندا
outa,ئطه
mashakel,مشاكل
lbsk,لبسك
msa2o,مسائه
btmza7i,بتمزحي
sree7en,سريحين
6sheshne,طششني
3alamin,عالمين
sba7k,صباحك
3afoan,عفوا
yshr7li,يشرحلي
9a7bo,صاحبه
m6fi,مطفي
wardh,ورده
2ltly,ألتلي
elnom,النوم
yer2os,يرئص
hini,هيني
hawajeb,حواجب
2jmal,اجمل
jajeh,جاجه
5adejh,خديجه
shufet,شفت
5eo6,خيوط
3idek,عيدك
el39'mah,العضمه
elyum,اليوم
lateji,لاتيجي
sog,سوق
3'ere,غيري
ma5da,مخده
6al3lk,طالعلك
t2jal,تأجل
btskty,بتسكتي
bsd2o,بسدئه
la6efen,لطيفين
as56k,اسخطك
ela7d,الأحد
e7trem,احترم
raghda,رغده
t3lmto,تعلمتو
btjawbe,بتجاوبي
mr7ba,مرحبا
5leki,خليكي
bn3ml,بنعمل
brja3,برجع
atwa8a3tak,اتوقعتك
2deret,أدرت
slamtha,سلامتها
bkafe,بكفي
mobde3ah,مبدعه
bt7sbi,بتحسبي
2desh,أديش
rab,رب
ma3na,معنا
nw3etha,نوعيتها
2l4habi,الذهبي
khalini,خليني
elsha3'lat,الشغلات
tz3l$,تزعلش
2at4akarkoom,اتذكركم
3elaj,علاج
br8btk,برقبتك
$a5s,شخص
el8a9'i,القاضي
tel3'eha,تلغيها
as8a3,اسقع
m3beh,معبيه
ni4am,نظام
nefra7,نفرح
twafer,توفر
n8sne,نقصني
ra2e3a,رائعه
3ren,عرين
gdha,قدها
b7bke,بحبكي
ma6ar,مطر
fondo8,فندق
tthblsh,تتهبلش
wasta,واسطه
feki,فيكي
bl5awah,بالخاوه
malo,مالو
a34rene,اعذريني
eltjom3,التجمع
bt7kili,بتحكيلي
ba5th,باخذ
tlft,تلفت
shbth,شبث
fz3n,فزعن
8weh,قويه
a3mel,اعمل
ihsas,احساس
3ro0d,عروض
adellak,ادللك
btla2i,بتلائي
dowar,دوار
nazlen,نازلين
a7zani,احزاني
bljo3,بالجوع
7awl,حاول
bhkelha,بحكيلها
s3d,سعد
sob7,صبح
ydl,يضل
huda,هدى
3eonk,عيونك
25det,اخذت
2017-03-07 00:00:00,حمار
shkhsyh,شخصيه
ms5raa,مسخره
ahdeek,اهديك
elzamor,الزامور
bhko,بحكو
thkryat,ذكريات
hiy,هي
sakneh,ساكنه
todros,تدرس
ar8eleh,ارقيله
badi,بدي
bldar,بالدار
mwaf2h,موافئه
mnt8len,منتقلين
2ejena,اجينا
b3shghom,بعشقهم
b8ra2ha,بقرأها
b$rfk,بشرفك
afe8,افيق
mteseh,متيسه
d3af,ضعاف
2zbt,ازبط
bkheer,بخير
8a2el,قائل
galtle,قالتلي
rmeti,رميتي
bedak,بدك
bt3aml,بتعمل
e5ta9er,اختصر
7ub,حب
yfotk,يفوتك
b3rafu,بعرفه
lmojlad,المجلد
jayat,جايات
dof3eti,دفعتي
ylla,يلا
n3'sheh,نغشه
3nedeh,عنيده
trbaytk,تربايتك
byoum,بيوم
r59t,رخصة
wbenk,وبينك
ma3kom,معكم
go6r,قوطر
mal8t,ملقت
m3moul,معمول
2sma2,أسماء
z3'ran,زغران
yshmat,يشمت
2kotbe,اكتبي
3shnk,عشنك
mnha,منها
mharat,مهارات
adhm,ادهم
3anak,عنك
sha5seian,شخصيا
e$t3'let,اشتغلت
zay,زي
tn7are8,تنحرق
2ltare5,التاريخ
ismah,اسمه
rne,رني
3nni,عني
hadyeh,هديه
jo3'mah,جغمه
6'ae3en,ظايعين
el7ay,الحي
msa7eb,مصاحب
smek,سميك
2ry7lk,اريحلك
a5eeran,اخيرا
2lbamia,الباميه
a7na,احنا
bekon,بيكون
ahzr,احزر
fekter,فيكتير
habitek,حبيتك
jebli,جيبلي
mokalmtna,مكالمتنا
tsafer,تسافر
efozo,يفوزو
f3lan,فعلا
27dari,احضري
m6nbr,مطنبر
2zn5ak,أزنخك
$oftik,شفتك
tsjel,تسجيل
bt2de,بتأدي
b5rbo,بخربو
ibda3,ابداع
t5rajet,تخرجت
salm,سالم
y5wy,ياخوي
khames,خميس
ensa,انسى
b$bah,بشبه
rekbat,ركبت
el$a$eh,الشاشه
frawlh,فراوله
7wla,حولا
t3abi,تعبي
arud,ارد
$warb,شوارب
7meed,حميد
al3ebarah,العباره
mflleh,مفلله
karakeh,كركيه
wa7esh,وحش
la7keya,الحكايه
7sb,حسب
el3mom,العموم
mo5efeh,مخيفه
bt3mlha,بتعملها
za3jk,زاعجك
wajbek,واجبك
l5sran,الخسران
msta8sed,مستقصد
jayba,جايبه
3lasare3,عالسريع
m8lobah,مقلوبه
lemta,لايمتا
nasyak,ناسيك
b5ze,بخزي
2ntabaheet,انتبهت
y8blo,يقبلو
majleh,مأجله
2a3deen,آعدين
arw7,اروح
3yalha,عيالها
elmo7adtheh,المحادثه
argeleh,ارقيله
a6wl,اطول
mnj8h,منجقه
7bayebna,حبايبنا
ygdar,يقدر
ywf2k,يوفئك
btsawn,بتساون
le8a2,لقاء
myle,ميلي
2rfa3y,ارفعي
a5las,اخلاص
kotob,كتب
blbaet,بالبيت
tetfas7an,تتفسحن
2eza,ازا
$klhn,شكلهن
lawnu,لونه
marlboro,مالبورو
a9'rb,اضرب
maktoob,مكتوب
5mol,خمول
b7jz,بحجز
selfie,سلفي
ela$e3ah,الاشعه
el3eleh,العيله
9iefe,صيفي
nafsk,نفسك
m3ho$,معهوش
dwar,دوار
a7sle,احسلي
mabsot,مبسوط
2llah,الله
elryadyat,الرياضيات
3alfa9'i,عالفاضي
l2ktb,لأكتب
to9b7i,تصبحي
abyh,ابيه
ylrab3,يالربع
swkrjyh,سوكرجيه
ys3ed,يسعد
3ajbatak,عاجبتك
raza8tana,رزقتنا
mo5drat,مخدرات
bani,بني
manghirha,منغيرها
sha5syeh,شخصيه
3ndkom,عندكم
bt3ane,بتعاني
yarb,يارب
b5leli,بخليلي
fy,في
y3tzr,يعتزر
m9'y3,مضيع
ajre,اجري
al8obol,القبول
maktab,مكتب
t3aen,تعين
t5afesh,تخافيش
efham,افهم
5alsto,خلصتو
jaretna,جارتنا
wnos,ونص
fgsde,فقصدي
jrabato,جراباته
estna,استنى
ma9rofi,مصروفي
m5zwegeenhom,مخزويقنهم
tho8ethn,ذقتهن
gabel,قبل
adfa3,ادفع
9raf,صراف
ye7kele,يحكيلي
yzyn,يزين
bt7sehom,بتحسيهم
bsor3a,بسرعه
ary7lo,اريحله
a$tri,اشتري
mshngl,مشنقل
nhde,نهدي
mdenit,مدينة
zab6naha,زبطناها
3'orftk,غرفتك
kna,كنا
kona,كنا
5b6a,خبطه
mlyaneh,مليانه
bst3'frsh,بستغفرش
asel,اسيل
2albek,ألبك
shuf,شوف
bgaweb,بجاوب
lay5sr,لايخسر
3afofe,عفوفي
ele7temalat,الاحتمالات
bl3'rfeh,بالغرفه
asmant,اسمنت
jibouli,جيبولي
mr3a,مرعى
e79'roha,احضروها
8azdetni,قاصديتني
madrse,مدرسه
bhay,يهاي
e6'a2h,اضاءه
d3'ri,دغري
btfhami,بتفهمي
2jr,اجر
n3m,نعم
shqarah,شقره
mansaf,منسف
aw9lha,اوصلها
ba2balhash,بئبلهاش
b7otlo,بحطله
whdeh,وحده
btstfedo,بتستفيدو
trj3e,ترجعي
fallayna,فلينا
dema,ديما
2nchbi,انجبي
5o4lak,خذلك
w7da,وحده
el6aweleh,الطويله
ne7md,نحمد
fta$eh,فتاشه
9ya3tak,صياعتك
the8a,ثقه
nrouuh,نروح
m87m$eh,مقحمشه
y79'ro,يحضرو
3amlitli,عامليتلي
lnadara,النضاره
jwzeha,جوزيها
3othor,عذر
el9de8,الصديق
8stak,قصتك
ydkhl,يدخل
3unsri,عنصري
5$mk,خشمك
nrk9',نركض
yt3'ier,يتغير
day3teli,ضيعتيلي
tfadlo,تفضلوا
ttzwj,تتزوج
3'ir,غير
blmw9'o3,بالموضوع
meshta8etlk,مشتاقيتلك
7qyqe,حقيقي
3joa,عجوى
btfte7,بتفتح
amthank,امتحانك
tu83ud,تقعد
bwdehom,بوديهم
arabiat,عربيات
lham,الهم
chi,شي
bn$ofko,بنشوفكو
5a9,خاص
3aha,عاها
yaha,ياها
shakhseh,شخصيه
dboura,دبوره
marahem,مراهم
irbdawih,اربداويه
m3jan,معجن
hala,هلا
yhneke,يهنيكي
n$r,نشر
eljadedeh,الجديده
3loosh,علوش
8albe,قلبي
daheh,داهيه
y3afeek,يعافيك
mjnnatk,مجنناتك
admnto,ادمنتو
3azemtk,عازيمتك
7usti,حصتي
isla7,اصلح
3ajztena,عجزتينا
6g3le,طقعلي
tarkte,تركتي
eb3thom,أبعتهم
6'alen,ظالين
dableh,دبله
3yon,عيون
ystr,يستر
a5barkn,اخباركن
b3rdk,بعرضك
bfrgeke,بفرجيكي
bede,بدي
2bte8rablak,ابتقربلك
wahab,وهاب
bnfs,بنفس
tarketoh,تاركيته
thalj,ثلج
aydon,ايدون
sarelek,صارلك
nskro,نسكرو
n3saneh,نعسانه
la5bar,الاخبار
tehaded,تهديد
m6ar,مطار
shrouq,شروق
bt7boha,بتحبوها
bel3rs,بالعرس
nftra,نفتره
oskot,اسكت
d2nk,دأنك
3amlelha,عامليلها
bn3n3,بنعنع
jana,جنه
wel,ول
tfu,تفو
awafe8,اوافق
tb3ethom,تبعتهم
wain,وين
3refto,عرفتو
esta3'rabet,استغربت
rateb,راتب
odrosi,ادرسي
bsm6o,بسمطو
wankom,وينكم
tstjeb,تستيجب
lé,لي
alml3a8h,المعاقه
t2rebn,تئريبا
la2h,لأه
ne7otlek,نحطلك
23esh,اعيش
jbrk,جبرك
msaki,مساكي
mtwl,مطول
o5ra,اخرى
3ayf,عايف
tfadul,تفاضل
